"Values from columns 4, ..., 4+p-1 are optimized gamma_1, ...,  gamma_p. Values from column 4+p, ..., 4+2p-1 are optimized beta_1, ..., beta_p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,p,optimal nu^q_p,params,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,0.6623,0.1855,0.3555,0.3728,0.3955,0.402,0.4103,0.4179,0.4304,0.4471,0.4703,0.5017,0.5425,0.5902,0.6418,0.6333,0.5151,0.4627,0.4392,0.4103,0.3843,0.3554,0.3243,0.2906,0.2535,0.2131,0.1685,0.1188,0.0638,,,,,,
2,15,0.6679,0.1811,0.3489,0.3667,0.3893,0.3954,0.4028,0.4088,0.4189,0.4318,0.4501,0.474,0.5058,0.5462,0.5924,0.6421,0.6349,0.5169,0.4655,0.4434,0.4163,0.3927,0.3664,0.3386,0.3086,0.2758,0.2402,0.2015,0.1589,0.1118,0.06,,,,
2,16,0.6729,0.1771,0.343,0.3612,0.3838,0.3896,0.3964,0.4011,0.4095,0.4197,0.4343,0.4532,0.4778,0.5099,0.5497,0.5944,0.6425,0.6363,0.5184,0.4678,0.4469,0.4213,0.3996,0.3756,0.3505,0.3234,0.294,0.2624,0.2281,0.191,0.1504,0.1056,0.0566,,
2,17,0.6773,0.1735,0.3376,0.3562,0.3789,0.3844,0.3907,0.3946,0.4016,0.4099,0.4217,0.437,0.4565,0.4816,0.5138,0.553,0.5962,0.6429,0.6375,0.5197,0.4697,0.4499,0.4255,0.4054,0.3832,0.3603,0.3358,0.3092,0.2807,0.2501,0.2171,0.1816,0.1426,0.1001,0.0536
3,1,0.2706,0.5268,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,0.3718,0.401,0.6465,0.3452,0.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4352,0.3437,0.5536,0.6191,0.3677,0.2655,0.1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0.4792,0.3085,0.5012,0.5423,0.6064,0.3749,0.2892,0.2303,0.1426,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,0.5124,0.2838,0.4683,0.4955,0.5347,0.5967,0.3793,0.3,0.2567,0.2075,0.1248,,,,,,,,,,,,,,,,,,,,,,,,
3,6,0.5385,0.2657,0.4438,0.4661,0.4895,0.528,0.5899,0.3815,0.3046,0.2698,0.2373,0.1897,0.111,,,,,,,,,,,,,,,,,,,,,,
3,7,0.5597,0.2516,0.4248,0.4451,0.4613,0.4827,0.5239,0.5849,0.3825,0.3069,0.276,0.2532,0.222,0.1749,0.1002,,,,,,,,,,,,,,,,,,,,
3,8,0.5773,0.2402,0.4095,0.4289,0.4419,0.4543,0.478,0.5214,0.5811,0.3828,0.3078,0.2792,0.2617,0.2401,0.2092,0.1623,0.0913,,,,,,,,,,,,,,,,,,
3,9,0.5922,0.2308,0.3968,0.4159,0.4273,0.4352,0.4488,0.475,0.5201,0.578,0.3827,0.3077,0.2806,0.2663,0.2507,0.2291,0.1978,0.1514,0.084,,,,,,,,,,,,,,,,
3,10,0.605,0.2228,0.3859,0.4051,0.4156,0.4211,0.4293,0.4448,0.4735,0.5196,0.5756,0.3823,0.3072,0.281,0.2688,0.2568,0.2414,0.2191,0.1875,0.1418,0.0777,,,,,,,,,,,,,,
3,11,0.6161,0.216,0.3765,0.3959,0.4061,0.4101,0.4153,0.4247,0.4423,0.473,0.5194,0.5735,0.3817,0.3064,0.2807,0.2699,0.2603,0.249,0.233,0.21,0.1782,0.1333,0.0724,,,,,,,,,,,,
3,12,0.6258,0.2101,0.3683,0.388,0.398,0.4012,0.4044,0.4103,0.4214,0.4409,0.4731,0.5196,0.5718,0.381,0.3054,0.2801,0.2702,0.2623,0.2537,0.242,0.2251,0.2015,0.1696,0.1258,0.0678,,,,,,,,,,
3,13,0.6345,0.2049,0.361,0.381,0.391,0.3936,0.3958,0.3995,0.4065,0.4191,0.4403,0.4737,0.5199,0.5702,0.3803,0.3043,0.2792,0.2699,0.2631,0.2566,0.2478,0.2353,0.2176,0.1935,0.1618,0.1191,0.0637,,,,,,,,
3,14,0.6422,0.2002,0.3544,0.3748,0.3849,0.3871,0.3886,0.3909,0.3954,0.4037,0.4178,0.4403,0.4747,0.5203,0.5689,0.3795,0.3031,0.2782,0.2693,0.2633,0.2581,0.2515,0.2422,0.2288,0.2104,0.186,0.1547,0.113,0.0601,,,,,,
4,1,0.2517,0.5489,0.2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.348,0.4236,0.6449,0.2701,0.1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0.4086,0.3664,0.5574,0.6107,0.2805,0.2125,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
