Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,136.369995,136.429993,132.320007,133.149994,120.439827,15166400
2020-01-27,130.270004,132.940002,129.710007,132.029999,119.426758,12860500
2020-01-28,132.839996,134.970001,132.479996,134.429993,121.597664,13062800
2020-01-29,134.809998,135.539993,133.690002,134.229996,121.416740,9326000
2020-01-30,132.690002,136.130005,132.690002,135.889999,122.918289,9048900
2020-01-31,134.490005,134.830002,131.470001,132.360001,119.725258,12785200
2020-02-03,132.660004,134.240005,132.660004,133.369995,120.638840,10021100
2020-02-04,135.550003,136.600006,135.080002,135.289993,122.375534,9157100
2020-02-05,136.570007,137.729996,136.009995,137.589996,124.455994,10150700
2020-02-06,138.240005,138.289993,137.110001,137.610001,124.474113,8992300
2020-02-07,136.729996,137.669998,136.300003,137.169998,124.076118,6379800
2020-02-10,136.949997,137.850006,136.750000,137.740005,124.591690,5960700
2020-02-11,138.259995,138.820007,137.779999,138.000000,124.826866,6578600
2020-02-12,138.600006,139.289993,137.800003,138.000000,124.826866,7958000
2020-02-13,137.750000,138.339996,136.399994,137.880005,124.718330,7447500
2020-02-14,137.839996,138.190002,136.940002,137.460007,124.338417,6627600
2020-02-18,137.339996,137.710007,135.050003,135.639999,122.692162,8996400
2020-02-19,136.910004,138.389999,136.339996,137.490005,124.365578,7071200
2020-02-20,137.169998,138.360001,136.529999,137.490005,124.365578,7422800
2020-02-21,136.550003,136.919998,134.919998,135.809998,122.845924,9772800
2020-02-24,131.440002,133.199997,130.800003,132.160004,119.544334,13618400
2020-02-25,131.000000,132.229996,125.589996,126.260002,114.207542,20797200
2020-02-26,126.930000,128.949997,126.339996,126.639999,114.551270,24825600
2020-02-27,122.910004,125.620003,121.300003,121.370003,109.784340,23005500
2020-02-28,117.519997,118.489998,112.660004,116.110001,105.026428,45931400
2020-03-02,116.629997,121.580002,114.459999,121.519997,109.919998,27355400
2020-03-03,120.970001,122.949997,116.239998,116.959999,105.795303,32547700
2020-03-04,118.330002,120.190002,114.699997,119.849998,108.409424,25795900
2020-03-05,115.669998,116.430000,112.580002,113.970001,103.090714,25025600
2020-03-06,106.260002,110.320000,105.019997,108.080002,97.762962,38159400
2020-03-09,96.570000,99.230003,93.000000,93.440002,84.520462,40352000
2020-03-10,99.000000,101.279999,94.580002,100.699997,91.087440,31102700
2020-03-11,97.699997,100.050003,94.550003,95.959999,86.799904,38127000
2020-03-12,89.589996,96.959999,86.320000,88.050003,79.644974,49725200
2020-03-13,95.989998,103.989998,92.000000,103.910004,93.991028,38543300
2020-03-16,85.199997,93.980003,84.550003,88.360001,79.925369,38589700
2020-03-17,90.889999,97.440002,87.500000,93.760002,84.809906,35239800
2020-03-18,87.669998,90.790001,80.360001,83.889999,75.882080,41525600
2020-03-19,81.559998,88.110001,76.910004,85.300003,77.157478,32175100
2020-03-20,86.300003,89.459999,82.480003,83.500000,75.529305,30150800
